pakistan_rank,overall_rank,location_id,location_name,country,total_events,distinct_event_types,event_types,active_years,active_year_list,frequency_component,diversity_component,severity_component,recurrence_component,exposure_score,methodology_caveat
1,1,pk_islamabad,Islamabad,Pakistan,358,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,1.0,1.0,0.487603,1.0,0.871901,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
2,2,pk_gilgit,Gilgit,Pakistan,346,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.9545454545454546,1.0,0.476251,1.0,0.857699,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
3,4,pk_lahore,Lahore,Pakistan,339,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.9090909090909091,1.0,0.492038,1.0,0.850282,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
4,6,pk_peshawar,Peshawar,Pakistan,332,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.7727272727272727,1.0,0.481516,1.0,0.813561,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
5,10,pk_multan,Multan,Pakistan,303,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.6136363636363636,1.0,0.469066,1.0,0.770676,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
6,11,pk_quetta,Quetta,Pakistan,298,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.5454545454545454,1.0,0.47945,1.0,0.756226,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
7,15,pk_sukkur,Sukkur,Pakistan,292,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.4318181818181818,1.0,0.461107,1.0,0.723231,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
8,18,pk_karachi,Karachi,Pakistan,285,7,Drought|Flood|Heatwave|Rainfall|Storm|Temperature|Wind,5,2021|2022|2023|2024|2025,0.2727272727272727,1.0,0.486006,1.0,0.689683,"This weather-event exposure score is not an official vulnerability index and does not represent complete social, economic, or disaster vulnerability."
